bfs_nr,metric,residual,zscore
246,capital_median_2022,-14130.406471018126,-0.2989470241929975
247,capital_median_2022,-31086.86919691316,-0.6576829234852539
248,capital_median_2022,179692.23675311875,3.801621670127224
249,capital_median_2022,1102.616349176853,0.02332727491520065
250,capital_median_2022,-6969.417444810955,-0.14744703981150786
251,capital_median_2022,-36502.98994248285,-0.7722679626968936
261,capital_median_2022,10122.729343537569,0.2141594313064127
291,capital_median_2022,17284.417758889438,0.36567421216980034
292,capital_median_2022,69791.60116682547,1.4765315863545523
293,capital_median_2022,-10830.273334203768,-0.22912843951782708
294,capital_median_2022,-33035.31370443746,-0.6989047870264243
295,capital_median_2022,5335.453610944533,0.11287842164930521
296,capital_median_2022,-40075.28507683874,-0.8478444864257169
297,capital_median_2022,-9967.937282465224,-0.21088460505699133
298,capital_median_2022,35503.69513732733,0.7511265886744637
1,capital_avg_2022,244307.16473412164,0.39054840550464065
2,capital_avg_2022,-262044.98487704224,-0.4189040101447456
3,capital_avg_2022,-257580.8560917438,-0.411767672653526
4,capital_avg_2022,-107564.90731607238,-0.1719528082046429
5,capital_avg_2022,31359.700546871638,0.050131485333279546
6,capital_avg_2022,-105360.91002523329,-0.16842950740988102
7,capital_avg_2022,-269539.4052759699,-0.43088455905811046
8,capital_avg_2022,-205477.41647261824,-0.32847533332855183
9,capital_avg_2022,-58887.726533194305,-0.09413767183767009
10,capital_avg_2022,-280025.00417283154,-0.4476467933314575
11,capital_avg_2022,-139674.11574216862,-0.22328245367973779
12,capital_avg_2022,-73093.75692724437,-0.11684737224692633
13,capital_avg_2022,-43169.20939288917,-0.06901011648036239
14,capital_avg_2022,153528.77872721187,0.2454304596275023
22,capital_avg_2022,116356.78716160881,0.18600747032967505
23,capital_avg_2022,1175056.5020969734,1.878440379639582
24,capital_avg_2022,-151796.99117193185,-0.24266203132895664
